#Reads:	196031
#Bases:	809296219
#Max:	58041
#Min:	9
#Avg:	4128.4
#Median:	3950
#Mode:	3630
#Std_Dev:	1663.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
6390	200	0.102%	20059	10.233%	1278868	0.158%	145830381	18.019%
6400	192	0.098%	19859	10.131%	1229631	0.152%	144551513	17.861%
6410	204	0.104%	19667	10.033%	1308626	0.162%	143321882	17.709%
6420	197	0.100%	19463	9.929%	1265632	0.156%	142013256	17.548%
6430	187	0.095%	19266	9.828%	1203172	0.149%	140747624	17.391%
6440	174	0.089%	19079	9.733%	1121390	0.139%	139544452	17.243%
6450	195	0.099%	18905	9.644%	1258646	0.156%	138423062	17.104%
6460	153	0.078%	18710	9.544%	989031	0.122%	137164416	16.949%
6470	173	0.088%	18557	9.466%	1120107	0.138%	136175385	16.826%
6480	166	0.085%	18384	9.378%	1076422	0.133%	135055278	16.688%
6490	166	0.085%	18218	9.293%	1078074	0.133%	133978856	16.555%
6500	161	0.082%	18052	9.209%	1047214	0.129%	132900782	16.422%
6510	161	0.082%	17891	9.127%	1048820	0.130%	131853568	16.292%
6520	156	0.080%	17730	9.044%	1017799	0.126%	130804748	16.163%
6530	156	0.080%	17574	8.965%	1019384	0.126%	129786949	16.037%
6540	174	0.089%	17418	8.885%	1138783	0.141%	128767565	15.911%
6550	161	0.082%	17244	8.797%	1055236	0.130%	127628782	15.770%
6560	159	0.081%	17083	8.714%	1043705	0.129%	126573546	15.640%
6570	170	0.087%	16924	8.633%	1117574	0.138%	125529841	15.511%
6580	138	0.070%	16754	8.547%	908633	0.112%	124412267	15.373%
6590	144	0.073%	16616	8.476%	949660	0.117%	123503634	15.261%
6600	169	0.086%	16472	8.403%	1116074	0.138%	122553974	15.143%
6610	135	0.069%	16303	8.317%	892919	0.110%	121437900	15.005%
6620	156	0.080%	16168	8.248%	1033432	0.128%	120544981	14.895%
6630	158	0.081%	16012	8.168%	1048223	0.130%	119511549	14.767%
6640	147	0.075%	15854	8.087%	976738	0.121%	118463326	14.638%
6650	159	0.081%	15707	8.013%	1058041	0.131%	117486588	14.517%
6660	176	0.090%	15548	7.931%	1172997	0.145%	116428547	14.386%
6670	139	0.071%	15372	7.842%	927732	0.115%	115255550	14.241%
6680	155	0.079%	15233	7.771%	1036110	0.128%	114327818	14.127%
6690	157	0.080%	15078	7.692%	1051033	0.130%	113291708	13.999%
6700	123	0.063%	14921	7.612%	824689	0.102%	112240675	13.869%
6710	149	0.076%	14798	7.549%	1000452	0.124%	111415986	13.767%
6720	147	0.075%	14649	7.473%	988505	0.122%	110415534	13.643%
6730	135	0.069%	14502	7.398%	909153	0.112%	109427029	13.521%
6740	152	0.078%	14367	7.329%	1025134	0.127%	108517876	13.409%
6750	152	0.078%	14215	7.251%	1026616	0.127%	107492742	13.282%
6760	144	0.073%	14063	7.174%	974076	0.120%	106466126	13.155%
6770	137	0.070%	13919	7.100%	928118	0.115%	105492050	13.035%
6780	145	0.074%	13782	7.031%	983749	0.122%	104563932	12.920%
6790	123	0.063%	13637	6.957%	835663	0.103%	103580183	12.799%
6800	138	0.070%	13514	6.894%	939017	0.116%	102744520	12.696%
6810	131	0.067%	13376	6.823%	892673	0.110%	101805503	12.580%
6820	108	0.055%	13245	6.757%	737066	0.091%	100912830	12.469%
6830	130	0.066%	13137	6.701%	888461	0.110%	100175764	12.378%
6840	122	0.062%	13007	6.635%	835030	0.103%	99287303	12.268%
6850	143	0.073%	12885	6.573%	980153	0.121%	98452273	12.165%
6860	127	0.065%	12742	6.500%	871858	0.108%	97472120	12.044%
6870	125	0.064%	12615	6.435%	859330	0.106%	96600262	11.936%
6880	128	0.065%	12490	6.371%	881287	0.109%	95740932	11.830%
6890	137	0.070%	12362	6.306%	944592	0.117%	94859645	11.721%
6900	116	0.059%	12225	6.236%	800960	0.099%	93915053	11.605%
6910	126	0.064%	12109	6.177%	871185	0.108%	93114093	11.506%
6920	114	0.058%	11983	6.113%	789396	0.098%	92242908	11.398%
6930	112	0.057%	11869	6.055%	776683	0.096%	91453512	11.300%
6940	128	0.065%	11757	5.998%	888840	0.110%	90676829	11.204%
6950	120	0.061%	11629	5.932%	834496	0.103%	89787989	11.095%
6960	122	0.062%	11509	5.871%	849677	0.105%	88953493	10.991%
6970	127	0.065%	11387	5.809%	885809	0.109%	88103816	10.886%
